Skip,"Пропустить"
Reroll,"Обновление"
Health,"Здоровье"
TypeDamage,"Тип Урона"
PhysicalDamage,"Физический урон"
StunDamage,"Оглушающий урон"
BurningDamage,"Горящий урон"
SlowedDamage,"Замедляющий урон"
RepulsiveDamage,"Отталкивающий урон"
Damage,"Урон"
Chance,"Шанс"
Duration,"Длительность"
Repulsive,"Отталкивающий"
Slowdown,"Замедление"
Gradual,"Постепенный урон"
AbilityCooldown,"Перезарядка"
AbilityDuration,"Длительность"
AbilityValue,"Урон"
ElectricSphere,"Электрическая сфера"
ElectricSphereDescription,"Создает электрическую сферу которая движется вокруг игрока"
ElectricTrap,"Электрическая ловушка"
ElectricTrapDescription,"Создает ловушку на месте игрока. Противник попавший в нее получит урон"
Fireball,"Огненный Шар"
FireballDescription,"Игрок выпускает огоненный шар, наносящий урон противнику и поджигающий его"
FireCircle,"Огненный Круг"
FireCircleDescription,"Создает на месте игрока огненный круг. Поджигает противников вошедших в него"
FrostNova,"Морозный Взрыв"
FrostNovaDescription,"Создает ледяной взрыв, наносящий урон врагам и замедляющий их"
IceBolt,"Ледяной удар"
IceBoltDescription,"Обрушивает на случайного врага ледяной осколок, который наносит урон и может его оглушить"
LightningBolt,"Удар молнии"
LightningBoltDescription,"Ударяет случайного врага молнией"
Metior,"Метеорит"
MetiorDescription,"Обрушивает на случайного врага метеорит, который отталкивает"
SnowBall,"Снежок"
SnowBallDescription,"Кидает в противника снежок, который отталкивает его"
ElectricPassive,"Скорость молнии"
ElectricPassiveDescription,"Увеличивает скорость передвижения игрока"
FirePassive,"Первобытный огонь"
FirePassiveDescription,"Увеличивает урон наносимый игроком обычными атаками"
IcePassive,"Ледяной щит"
IcePassiveDescription,"Увеличивает броню игрока"
RerollDescription,"Добавляет очки для обновления набора карт"
HealthDescription,"Увеличивает максимальный запас здоровья игрока"
Buran,"Буран"
BuranDescription,"Создает на месте игрока мощный буран, который наносит урон и замедляет врагов попавших в него"
DragonTrace,"След дракона"
DragonTraceDescription,"При передвижении игрок создает на своем месте огненные круги"
ElectricGuard,"Электрическая защита"
ElectricGuardDescription,"Создает вокруг игрока 4 электрические ловушки"
Firestorm,"Огненный шторм"
FirestormDescription,"Игрок с большой скоростью выпускает огненные шары в противников"
GlobularLightning,"Шаровая молния"
GlobularLightningDescription,"Вокруг игрока кружатся две электрические сферы наносящие урон врагам"
IceAvalanche,"Ледяная лавина"
IceAvalancheDescription,"Создает на месте игрока дождь из ледяных осколков, которые наносят урон противникам и могут их оглушить"
MeteorRain,"Метеоритный дождь"
MeteorRainDescription,"Создает на месте игрока метеоритный дождь, который наносит урон противникам"
Snowfall,"Снегопад"
SnowfallDescription,"Выпускает в противников три снежка, которые отталкивают и наносят урон"
Thunder,"Гром"
ThunderDescription,"Ударяет ближайших врагов молнией, которая наносит им урон"
JerkFront,"Рывок вперед"
JerkFrontDescription,"Игрок совершает рывок вперед, отталкивая врагов перед собой, нанося им урон"
RageDescription,"Игрок впадает в ярость, увеличивая свой урон и скорость передвижения, но при этом уменьшает броню"
Rage,"Ярость"
ThrowAxe,"Метательный топор"
ThrowAxeDescription,"Игрок бросает топор в своем направлении, нанося урон задетым врагам"
Epiphany,"Озарение"
EpiphanyDescription,"На игрока нисходит поток света, который исцеляет и наносит урон ближайшим врагам"
ShielUp,"Поднять щит"
ShielUpDescription,"Игрок защищается щитом, увеличивая свою защиту, но при этом снижает скорость передвижения и не может атаковать"
StunningBlow,"Ошеломляющий удар"
StunningBlowDescription,"Игрок ударяет молотом по земле, оглушая ближайших врагов"
DarkPact,"Темный пакт"
DarkPactDescription,"Игрок обращается к потусторонним силам, увеличивая скорость регенерации здоровья, но при этом не может передвигаться"
SoulExplosion,"Взрыв души"
SoulExplosionDescription,"Игрок отдает часть текущего здоровья, создавая мощный взрыв, отталкивающий ближайших противников"
SummonSkelleton,"Призыв духа"
SummonSkelletonDescription,"Призывает дух воина, который сражается на стороне игрока. Копирует тип атаки оружия игрока. Противники не могут его атаковать"
Barbarian,"Варвар"
Paladin,"Паладин"
Warlock,"Чернокнижник"
BarbarianDescription,"Смертоносный воин с большим уроном и низкой защитой"
PaladinDescription,"Служитель света с большим запасом брони и массовыми заклинаниями"
